date,city,price
2019-08-01,RENNES,2850.6580842966796
2019-09-01,RENNES,2863.7081125864643
2019-10-01,RENNES,2876.3371722218
2019-11-01,RENNES,2889.3872005116427
2019-12-01,RENNES,2902.0162601469783
2020-01-01,RENNES,2915.066288436821
2020-02-01,RENNES,2928.116316726664
2020-03-01,RENNES,2940.324407707434
2020-04-01,RENNES,2953.374435997277
2020-05-01,RENNES,2966.0034956326126
2020-06-01,RENNES,2979.0535239224555
2020-07-01,RENNES,2991.682583557791
2020-08-01,RENNES,3004.732611847634
2020-09-01,RENNES,3017.782640137477
2020-10-01,RENNES,3030.411699772754
2020-11-01,RENNES,3043.461728062597
2020-12-01,RENNES,3056.0907876979327
2016-01-01,LYON,3205.92412095936
2016-02-01,LYON,3230.6278994200984
2016-03-01,LYON,3253.737885721959
2016-04-01,LYON,3278.441664182581
2016-05-01,LYON,3302.3485465638805
2016-06-01,LYON,3327.0523250246188
2016-07-01,LYON,3350.959207405802
2016-08-01,LYON,3375.66298586654
2016-09-01,LYON,3400.366764327162
2016-10-01,LYON,3424.2736467084615
2016-11-01,LYON,3448.9774251690833
2016-12-01,LYON,3472.884307550383
2017-01-01,LYON,3497.5880860110046
2017-02-01,LYON,3522.291864471743
2017-03-01,LYON,3544.6049546942813
2017-04-01,LYON,3569.308733154903
2017-05-01,LYON,3593.2156155362027
2017-06-01,LYON,3617.9193939968245
2017-07-01,LYON,3641.826276378124
2017-08-01,LYON,3666.530054838746
2017-09-01,LYON,3691.233833299484
2017-10-01,LYON,3715.1407156807836
2017-11-01,LYON,3739.8444941414054
2017-12-01,LYON,3763.751376522705
2018-01-01,LYON,3788.455154983327
2018-02-01,LYON,3813.1589334439486
2018-03-01,LYON,3835.472023666487
2018-04-01,LYON,3860.1758021272253
2018-05-01,LYON,3884.0826845084084
2018-06-01,LYON,3908.7864629691467
2018-07-01,LYON,3932.693345350446
2018-08-01,LYON,3957.397123811068
2018-09-01,LYON,3982.10090227169
2018-10-01,LYON,4006.0077846529894
2018-11-01,LYON,4030.711563113611
2018-12-01,LYON,4054.6184454949107
2019-01-01,LYON,4079.322223955649
2019-02-01,LYON,4104.026002416271
2019-03-01,LYON,4126.339092638809
2019-04-01,LYON,4151.042871099431
2019-05-01,LYON,4174.949753480731
2019-06-01,LYON,4199.653531941352
2019-07-01,LYON,4223.560414322652
2019-08-01,LYON,4248.26419278339
2019-09-01,LYON,4272.967971244012
2019-10-01,LYON,4296.8748536253115
2019-11-01,LYON,4321.578632085933
2019-12-01,LYON,4345.485514467233
2020-01-01,LYON,4370.189292927855
2020-02-01,LYON,4394.893071388593
2020-03-01,LYON,4418.003057690454
2020-04-01,LYON,4442.706836151076
2020-05-01,LYON,4466.613718532375
2020-06-01,LYON,4491.317496993113
2020-07-01,LYON,4515.224379374296
2020-08-01,LYON,4539.928157835035
2020-09-01,LYON,4564.6319362956565
2020-10-01,LYON,4588.538818676956
2020-11-01,LYON,4613.242597137578
2020-12-01,LYON,4637.149479518877
2016-01-01,TOULOUSE,2575.332046735275
2016-02-01,TOULOUSE,2586.4449767438346
2016-03-01,TOULOUSE,2596.840943526011
2016-04-01,TOULOUSE,2607.9538735345704
2016-05-01,TOULOUSE,2618.7083219299675
2016-06-01,TOULOUSE,2629.821251938527
2016-07-01,TOULOUSE,2640.575700333924
2016-08-01,TOULOUSE,2651.6886303424835
2016-09-01,TOULOUSE,2662.801560351043
2016-10-01,TOULOUSE,2673.55600874644
2016-11-01,TOULOUSE,2684.6689387549995
2016-12-01,TOULOUSE,2695.4233871503384
2017-01-01,TOULOUSE,2706.536317158898
2017-02-01,TOULOUSE,2717.6492471674574
2017-03-01,TOULOUSE,2727.6867323365295
2017-04-01,TOULOUSE,2738.799662345089
2017-05-01,TOULOUSE,2749.554110740428
2017-06-01,TOULOUSE,2760.6670407489873
2017-07-01,TOULOUSE,2771.4214891443844
2017-08-01,TOULOUSE,2782.534419152944
2017-09-01,TOULOUSE,2793.6473491615034
2017-10-01,TOULOUSE,2804.4017975569004
2017-11-01,TOULOUSE,2815.51472756546
2017-12-01,TOULOUSE,2826.269175960857
2018-01-01,TOULOUSE,2837.3821059694164
2018-02-01,TOULOUSE,2848.495035977976
2018-03-01,TOULOUSE,2858.53252114699
2018-04-01,TOULOUSE,2869.6454511555494
2018-05-01,TOULOUSE,2880.3998995509464
2018-06-01,TOULOUSE,2891.512829559506
2018-07-01,TOULOUSE,2902.2672779548448
2018-08-01,TOULOUSE,2913.3802079634042
2018-09-01,TOULOUSE,2924.4931379719637
2018-10-01,TOULOUSE,2935.247586367361
2018-11-01,TOULOUSE,2946.3605163759203
2018-12-01,TOULOUSE,2957.1149647713173
2019-01-01,TOULOUSE,2968.227894779877
2019-02-01,TOULOUSE,2979.3408247884363
2019-03-01,TOULOUSE,2989.3783099574503
